message
This is my website
I made it with:
Ruby
html
css
and Sinatra.
"hola
"
senor
IM TESTING THIS AND ITS SHOWING A CHAT! HOLLR! TRYING TO SEE HOW THIS WORKS! I LOVE CODING YEAH
